invoice_day,daily_revenue,total_orders,total_items_sold,unique_customers,day_of_week,month,week,year
2010-12-01,58776.79,127,26818,95,Wednesday,12,48,2010
2010-12-02,47629.42,142,31264,99,Thursday,12,48,2010
2010-12-03,46898.63,68,16158,50,Friday,12,48,2010
2010-12-04,0.0,0,0,0,Saturday,12,48,2010
2010-12-05,31364.63,88,16242,75,Sunday,12,48,2010
2010-12-06,54624.15,102,21619,82,Monday,12,49,2010
2010-12-07,99553.85,84,25180,65,Tuesday,12,49,2010
2010-12-08,45235.36,116,23041,99,Wednesday,12,49,2010
2010-12-09,53548.19,107,19898,90,Thursday,12,49,2010
2010-12-10,59021.02,77,20973,53,Friday,12,49,2010
2010-12-11,0.0,0,0,0,Saturday,12,49,2010
2010-12-12,17125.65,44,10537,42,Sunday,12,49,2010
2010-12-13,37942.37,70,17701,59,Monday,12,50,2010
2010-12-14,45167.56,90,20255,73,Tuesday,12,50,2010
2010-12-15,30384.37,74,18453,66,Wednesday,12,50,2010
2010-12-16,49114.14,121,29860,98,Thursday,12,50,2010
2010-12-17,45338.13,66,16935,51,Friday,12,50,2010
2010-12-18,0.0,0,0,0,Saturday,12,50,2010
2010-12-19,7410.47,23,3734,17,Sunday,12,50,2010
2010-12-20,26766.23,61,14914,41,Monday,12,51,2010
2010-12-21,47279.89,55,15605,23,Tuesday,12,51,2010
2010-12-22,6199.97,17,3080,13,Wednesday,12,51,2010
2010-12-23,12071.91,27,5752,15,Thursday,12,51,2010
2010-12-24,0.0,0,0,0,Friday,12,51,2010
2010-12-25,0.0,0,0,0,Saturday,12,51,2010
2010-12-26,0.0,0,0,0,Sunday,12,51,2010
2010-12-27,0.0,0,0,0,Monday,12,52,2010
2010-12-28,0.0,0,0,0,Tuesday,12,52,2010
2010-12-29,0.0,0,0,0,Wednesday,12,52,2010
2010-12-30,0.0,0,0,0,Thursday,12,52,2010
2010-12-31,0.0,0,0,0,Friday,12,52,2010
2011-01-01,0.0,0,0,0,Saturday,1,52,2011
2011-01-02,0.0,0,0,0,Sunday,1,52,2011
2011-01-03,0.0,0,0,0,Monday,1,1,2011
2011-01-04,16005.73,36,8630,34,Tuesday,1,1,2011
2011-01-05,32630.27,55,19769,45,Wednesday,1,1,2011
2011-01-06,40366.45,50,23124,45,Thursday,1,1,2011
2011-01-07,28836.59,53,17160,45,Friday,1,1,2011
2011-01-08,0.0,0,0,0,Saturday,1,1,2011
2011-01-09,15590.68,48,8125,48,Sunday,1,1,2011
2011-01-10,24553.07,39,12861,32,Monday,1,2,2011
2011-01-11,68630.54,58,28437,47,Tuesday,1,2,2011
2011-01-12,24664.579999999998,45,10606,42,Wednesday,1,2,2011
2011-01-13,20612.79,44,10171,41,Thursday,1,2,2011
2011-01-14,47554.58,47,23139,37,Friday,1,2,2011
2011-01-15,0.0,0,0,0,Saturday,1,2,2011
2011-01-16,6976.39,25,4086,22,Sunday,1,2,2011
2011-01-17,29262.72,51,13375,45,Monday,1,3,2011
2011-01-18,95947.73000000001,41,82964,31,Tuesday,1,3,2011
2011-01-19,25874.57,35,17354,33,Wednesday,1,3,2011
2011-01-20,21199.34,39,10475,30,Thursday,1,3,2011
2011-01-21,32636.55,39,15302,32,Friday,1,3,2011
2011-01-22,0.0,0,0,0,Saturday,1,3,2011
2011-01-23,10306.1,27,5200,27,Sunday,1,3,2011
2011-01-24,25494.49,53,11955,43,Monday,1,4,2011
2011-01-25,28952.55,67,15538,57,Tuesday,1,4,2011
2011-01-26,19855.92,56,10931,49,Wednesday,1,4,2011
2011-01-27,23624.3,52,11266,50,Thursday,1,4,2011
2011-01-28,20064.35,40,9842,36,Friday,1,4,2011
2011-01-29,0.0,0,0,0,Saturday,1,4,2011
2011-01-30,6542.61,24,3383,22,Sunday,1,4,2011
2011-01-31,23628.71,62,13406,50,Monday,1,5,2011
2011-02-01,29013.29,63,15814,57,Tuesday,2,5,2011
2011-02-02,21162.12,63,9706,55,Wednesday,2,5,2011
2011-02-03,23467.73,46,15712,44,Thursday,2,5,2011
2011-02-04,25135.84,52,12695,41,Friday,2,5,2011
2011-02-05,0.0,0,0,0,Saturday,2,5,2011
2011-02-06,3439.67,11,2036,11,Sunday,2,5,2011
2011-02-07,25922.97,42,9128,35,Monday,2,6,2011
2011-02-08,20935.23,45,10100,37,Tuesday,2,6,2011
2011-02-09,16682.63,29,7164,22,Wednesday,2,6,2011
2011-02-10,14853.31,41,11876,39,Thursday,2,6,2011
2011-02-11,22853.6,45,10520,34,Friday,2,6,2011
2011-02-12,0.0,0,0,0,Saturday,2,6,2011
2011-02-13,5645.48,20,2723,20,Sunday,2,6,2011
2011-02-14,26668.91,42,13567,36,Monday,2,7,2011
2011-02-15,39841.71,58,22669,47,Tuesday,2,7,2011
2011-02-16,24863.85,63,16117,56,Wednesday,2,7,2011
2011-02-17,26357.52,68,14413,50,Thursday,2,7,2011
2011-02-18,16184.42,39,9149,34,Friday,2,7,2011
2011-02-19,0.0,0,0,0,Saturday,2,7,2011
2011-02-20,9437.8,26,5218,26,Sunday,2,7,2011
2011-02-21,36311.4,38,21533,31,Monday,2,8,2011
2011-02-22,32454.5,52,21893,47,Tuesday,2,8,2011
2011-02-23,26859.5,63,13742,49,Wednesday,2,8,2011
2011-02-24,22800.89,55,11891,52,Thursday,2,8,2011
2011-02-25,20595.19,49,10572,42,Friday,2,8,2011
2011-02-26,0.0,0,0,0,Saturday,2,8,2011
2011-02-27,9382.71,33,4823,31,Sunday,2,8,2011
2011-02-28,21675.29,57,9873,49,Monday,2,9,2011
2011-03-01,26344.68,62,12137,52,Tuesday,3,9,2011
2011-03-02,18669.94,43,8612,40,Wednesday,3,9,2011
2011-03-03,36367.14,49,20075,46,Thursday,3,9,2011
2011-03-04,19486.88,49,13560,38,Friday,3,9,2011
2011-03-05,0.0,0,0,0,Saturday,3,9,2011
2011-03-06,9959.62,27,5027,24,Sunday,3,9,2011
2011-03-07,32318.72,68,14006,49,Monday,3,10,2011
2011-03-08,25035.12,48,14537,41,Tuesday,3,10,2011
2011-03-09,22013.2,53,11861,47,Wednesday,3,10,2011
2011-03-10,26118.27,57,15583,46,Thursday,3,10,2011
2011-03-11,25473.93,53,10521,42,Friday,3,10,2011
2011-03-12,0.0,0,0,0,Saturday,3,10,2011
2011-03-13,4117.22,16,2733,16,Sunday,3,10,2011
2011-03-14,25876.63,50,16737,41,Monday,3,11,2011
2011-03-15,23453.34,52,8941,40,Tuesday,3,11,2011
2011-03-16,21842.81,52,12883,46,Wednesday,3,11,2011
2011-03-17,39852.51,62,20975,51,Thursday,3,11,2011
2011-03-18,28107.65,64,13938,48,Friday,3,11,2011
2011-03-19,0.0,0,0,0,Saturday,3,11,2011
2011-03-20,21949.68,60,14038,56,Sunday,3,11,2011
2011-03-21,16679.47,53,10292,47,Monday,3,12,2011
2011-03-22,31468.23,53,16548,40,Tuesday,3,12,2011
2011-03-23,24078.89,63,14374,55,Wednesday,3,12,2011
2011-03-24,36496.79,68,18164,63,Thursday,3,12,2011
2011-03-25,31362.56,56,14083,45,Friday,3,12,2011
2011-03-26,0.0,0,0,0,Saturday,3,12,2011
2011-03-27,9206.72,32,4496,31,Sunday,3,12,2011
2011-03-28,23133.23,61,12222,52,Monday,3,13,2011
2011-03-29,70711.92,62,32803,46,Tuesday,3,13,2011
2011-03-30,31821.71,75,20621,63,Wednesday,3,13,2011
2011-03-31,34268.4,66,16832,57,Thursday,3,13,2011
2011-04-01,25565.64,75,18459,59,Friday,4,13,2011
2011-04-02,0.0,0,0,0,Saturday,4,13,2011
2011-04-03,6897.18,20,5658,18,Sunday,4,13,2011
2011-04-04,33234.48,59,14004,49,Monday,4,14,2011
2011-04-05,30052.82,52,15558,45,Tuesday,4,14,2011
2011-04-06,17338.36,40,9156,36,Wednesday,4,14,2011
2011-04-07,18465.44,64,10508,57,Thursday,4,14,2011
2011-04-08,25240.59,71,12985,63,Friday,4,14,2011
2011-04-09,0.0,0,0,0,Saturday,4,14,2011
2011-04-10,9879.75,32,5603,31,Sunday,4,14,2011
2011-04-11,22345.93,64,13632,54,Monday,4,15,2011
2011-04-12,25534.94,62,15311,54,Tuesday,4,15,2011
2011-04-13,24450.27,60,18752,54,Wednesday,4,15,2011
2011-04-14,36084.1,86,18858,75,Thursday,4,15,2011
2011-04-15,28311.821,56,12717,40,Friday,4,15,2011
2011-04-16,0.0,0,0,0,Saturday,4,15,2011
2011-04-17,12630.34,42,8136,39,Sunday,4,15,2011
2011-04-18,55983.99,69,29825,56,Monday,4,16,2011
2011-04-19,24296.85,59,14461,52,Tuesday,4,16,2011
2011-04-20,28667.32,63,18371,58,Wednesday,4,16,2011
2011-04-21,32582.2,77,18210,64,Thursday,4,16,2011
2011-04-22,0.0,0,0,0,Friday,4,16,2011
2011-04-23,0.0,0,0,0,Saturday,4,16,2011
2011-04-24,0.0,0,0,0,Sunday,4,16,2011
2011-04-25,0.0,0,0,0,Monday,4,17,2011
2011-04-26,30999.88,71,16135,55,Tuesday,4,17,2011
2011-04-27,25916.15,65,18218,56,Wednesday,4,17,2011
2011-04-28,22490.44,59,13396,49,Thursday,4,17,2011
2011-04-29,0.0,0,0,0,Friday,4,17,2011
2011-04-30,0.0,0,0,0,Saturday,4,17,2011
2011-05-01,6958.11,18,3814,18,Sunday,5,17,2011
2011-05-02,0.0,0,0,0,Monday,5,18,2011
2011-05-03,35196.21,66,12454,50,Tuesday,5,18,2011
2011-05-04,27521.96,65,17363,55,Wednesday,5,18,2011
2011-05-05,29133.41,89,17436,76,Thursday,5,18,2011
2011-05-06,36122.98,82,19945,64,Friday,5,18,2011
2011-05-07,0.0,0,0,0,Saturday,5,18,2011
2011-05-08,18731.98,63,10621,58,Sunday,5,18,2011
2011-05-09,27883.46,71,13354,59,Monday,5,19,2011
2011-05-10,47756.53,96,19784,63,Tuesday,5,19,2011
2011-05-11,33647.85,80,18894,56,Wednesday,5,19,2011
2011-05-12,61829.27,86,37774,68,Thursday,5,19,2011
2011-05-13,30679.84,73,15217,52,Friday,5,19,2011
2011-05-14,0.0,0,0,0,Saturday,5,19,2011
2011-05-15,9911.38,31,4895,29,Sunday,5,19,2011
2011-05-16,39651.28,68,16019,52,Monday,5,20,2011
2011-05-17,55106.99,82,26769,56,Tuesday,5,20,2011
2011-05-18,34376.26,73,19013,62,Wednesday,5,20,2011
2011-05-19,35567.71,99,18124,82,Thursday,5,20,2011
2011-05-20,26579.95,71,15348,58,Friday,5,20,2011
2011-05-21,0.0,0,0,0,Saturday,5,20,2011
2011-05-22,24102.0,61,12645,57,Sunday,5,20,2011
2011-05-23,34610.64,68,18169,55,Monday,5,21,2011
2011-05-24,37658.39,68,15936,53,Tuesday,5,21,2011
2011-05-25,24393.9,65,13163,52,Wednesday,5,21,2011
2011-05-26,33497.03,64,16264,50,Thursday,5,21,2011
2011-05-27,28387.93,64,16209,49,Friday,5,21,2011
2011-05-28,0.0,0,0,0,Saturday,5,21,2011
2011-05-29,7338.9400000000005,24,4067,20,Sunday,5,21,2011
2011-05-30,0.0,0,0,0,Monday,5,22,2011
2011-05-31,22652.61,54,11724,48,Tuesday,5,22,2011
2011-06-01,20585.19,42,10965,35,Wednesday,6,22,2011
2011-06-02,32800.49,52,14586,33,Thursday,6,22,2011
2011-06-03,16895.1,44,7679,37,Friday,6,22,2011
2011-06-04,0.0,0,0,0,Saturday,6,22,2011
2011-06-05,25423.760000000002,67,13397,62,Sunday,6,22,2011
2011-06-06,17767.12,57,9459,54,Monday,6,23,2011
2011-06-07,37857.31,78,18731,68,Tuesday,6,23,2011
2011-06-08,43194.43,99,21260,71,Wednesday,6,23,2011
2011-06-09,46341.52,85,28265,76,Thursday,6,23,2011
2011-06-10,62234.439999999995,50,10669,41,Friday,6,23,2011
2011-06-11,0.0,0,0,0,Saturday,6,23,2011
2011-06-12,12441.94,39,9457,38,Sunday,6,23,2011
2011-06-13,22434.76,59,11291,49,Monday,6,24,2011
2011-06-14,40447.53,57,14602,42,Tuesday,6,24,2011
2011-06-15,48974.63,59,30381,42,Wednesday,6,24,2011
2011-06-16,34529.01,83,20272,74,Thursday,6,24,2011
2011-06-17,21070.47,52,11753,35,Friday,6,24,2011
2011-06-18,0.0,0,0,0,Saturday,6,24,2011
2011-06-19,22421.48,60,15069,57,Sunday,6,24,2011
2011-06-20,37489.24,74,16599,49,Monday,6,25,2011
2011-06-21,24752.87,55,14183,45,Tuesday,6,25,2011
2011-06-22,21799.32,60,15818,55,Wednesday,6,25,2011
2011-06-23,25155.63,72,14670,64,Thursday,6,25,2011
2011-06-24,19516.29,51,9981,40,Friday,6,25,2011
2011-06-25,0.0,0,0,0,Saturday,6,25,2011
2011-06-26,7032.36,26,3760,24,Sunday,6,25,2011
2011-06-27,16985.31,45,9898,31,Monday,6,26,2011
2011-06-28,35545.83,55,21747,41,Tuesday,6,26,2011
2011-06-29,22087.47,42,12070,36,Wednesday,6,26,2011
2011-06-30,44763.51,70,21949,55,Thursday,6,26,2011
2011-07-01,13632.210000000001,49,7641,35,Friday,7,26,2011
2011-07-02,0.0,0,0,0,Saturday,7,26,2011
2011-07-03,5972.7300000000005,25,3091,24,Sunday,7,26,2011
2011-07-04,44609.03,52,15698,32,Monday,7,27,2011
2011-07-05,40754.68,73,22092,58,Tuesday,7,27,2011
2011-07-06,26361.28,70,19165,61,Wednesday,7,27,2011
2011-07-07,32412.43,76,19141,67,Thursday,7,27,2011
2011-07-08,27057.35,65,12707,42,Friday,7,27,2011
2011-07-09,0.0,0,0,0,Saturday,7,27,2011
2011-07-10,5959.54,24,4204,20,Sunday,7,27,2011
2011-07-11,22529.66,52,15106,43,Monday,7,28,2011
2011-07-12,26252.85,53,13954,41,Tuesday,7,28,2011
2011-07-13,22620.61,59,16267,50,Wednesday,7,28,2011
2011-07-14,33560.26,71,17524,61,Thursday,7,28,2011
2011-07-15,14793.83,42,7310,34,Friday,7,28,2011
2011-07-16,0.0,0,0,0,Saturday,7,28,2011
2011-07-17,17154.26,51,11019,45,Sunday,7,28,2011
2011-07-18,38814.88,65,15098,45,Monday,7,29,2011
2011-07-19,50166.76,67,29168,57,Tuesday,7,29,2011
2011-07-20,33252.33,58,17676,47,Wednesday,7,29,2011
2011-07-21,32695.77,76,19907,59,Thursday,7,29,2011
2011-07-22,20119.97,43,10270,34,Friday,7,29,2011
2011-07-23,0.0,0,0,0,Saturday,7,29,2011
2011-07-24,27080.46,58,17661,53,Sunday,7,29,2011
2011-07-25,26876.39,59,16095,49,Monday,7,30,2011
2011-07-26,21635.561,53,13709,44,Tuesday,7,30,2011
2011-07-27,25593.74,48,13962,39,Wednesday,7,30,2011
2011-07-28,56243.32,80,30256,68,Thursday,7,30,2011
2011-07-29,18716.54,64,11559,57,Friday,7,30,2011
2011-07-30,0.0,0,0,0,Saturday,7,30,2011
2011-07-31,33209.68,42,19413,37,Sunday,7,30,2011
2011-08-01,21358.64,40,11669,35,Monday,8,31,2011
2011-08-02,26575.55,44,15718,39,Tuesday,8,31,2011
2011-08-03,28068.2,64,16499,59,Wednesday,8,31,2011
2011-08-04,65496.79,82,41143,76,Thursday,8,31,2011
2011-08-05,21417.13,55,12750,47,Friday,8,31,2011
2011-08-06,0.0,0,0,0,Saturday,8,31,2011
2011-08-07,7543.86,30,5175,28,Sunday,8,31,2011
2011-08-08,23363.01,40,13336,38,Monday,8,32,2011
2011-08-09,27672.24,42,16258,38,Tuesday,8,32,2011
2011-08-10,28780.05,49,14414,42,Wednesday,8,32,2011
2011-08-11,72372.89,69,39228,58,Thursday,8,32,2011
2011-08-12,32231.35,51,11978,40,Friday,8,32,2011
2011-08-13,0.0,0,0,0,Saturday,8,32,2011
2011-08-14,5701.87,25,3172,21,Sunday,8,32,2011
2011-08-15,17235.95,48,10173,46,Monday,8,33,2011
2011-08-16,19234.53,53,11184,44,Tuesday,8,33,2011
2011-08-17,53284.76,54,25649,45,Wednesday,8,33,2011
2011-08-18,54059.1,69,34028,64,Thursday,8,33,2011
2011-08-19,17336.07,56,10664,54,Friday,8,33,2011
2011-08-20,0.0,0,0,0,Saturday,8,33,2011
2011-08-21,14420.27,39,8081,36,Sunday,8,33,2011
2011-08-22,29645.54,65,15542,57,Monday,8,34,2011
2011-08-23,25978.59,64,15172,56,Tuesday,8,34,2011
2011-08-24,48789.72,76,29360,59,Wednesday,8,34,2011
2011-08-25,23773.43,74,13316,68,Thursday,8,34,2011
2011-08-26,25610.29,47,17125,41,Friday,8,34,2011
2011-08-27,0.0,0,0,0,Saturday,8,34,2011
2011-08-28,10686.56,37,6701,36,Sunday,8,34,2011
2011-08-29,0.0,0,0,0,Monday,8,35,2011
2011-08-30,31837.77,41,10236,23,Tuesday,8,35,2011
2011-08-31,25367.22,47,12449,39,Wednesday,8,35,2011
2011-09-01,37358.62,76,27850,69,Thursday,9,35,2011
2011-09-02,42226.28,74,18433,58,Friday,9,35,2011
2011-09-03,0.0,0,0,0,Saturday,9,35,2011
2011-09-04,17040.74,50,10920,45,Sunday,9,35,2011
2011-09-05,36898.35,68,22742,57,Monday,9,36,2011
2011-09-06,28321.06,64,15070,54,Tuesday,9,36,2011
2011-09-07,34413.53,52,16390,42,Wednesday,9,36,2011
2011-09-08,27055.88,76,17404,63,Thursday,9,36,2011
2011-09-09,30016.33,62,17358,52,Friday,9,36,2011
2011-09-10,0.0,0,0,0,Saturday,9,36,2011
2011-09-11,35206.92,75,20906,68,Sunday,9,36,2011
2011-09-12,29526.29,68,16824,62,Monday,9,37,2011
2011-09-13,55071.3,67,36519,61,Tuesday,9,37,2011
2011-09-14,23578.78,68,14186,58,Wednesday,9,37,2011
2011-09-15,78151.97,83,29281,70,Thursday,9,37,2011
2011-09-16,27720.27,50,15051,44,Friday,9,37,2011
2011-09-17,0.0,0,0,0,Saturday,9,37,2011
2011-09-18,15639.55,27,8937,25,Sunday,9,37,2011
2011-09-19,49250.87,71,29248,63,Monday,9,38,2011
2011-09-20,109553.9,70,43683,53,Tuesday,9,38,2011
2011-09-21,48529.72,75,22312,65,Wednesday,9,38,2011
2011-09-22,59220.41,112,33144,94,Thursday,9,38,2011
2011-09-23,40574.4,64,21872,56,Friday,9,38,2011
2011-09-24,0.0,0,0,0,Saturday,9,38,2011
2011-09-25,31164.781,75,19424,74,Sunday,9,38,2011
2011-09-26,29270.841,66,15249,62,Monday,9,39,2011
2011-09-27,36260.91,80,21231,67,Tuesday,9,39,2011
2011-09-28,43693.08,85,25530,72,Wednesday,9,39,2011
2011-09-29,46343.35,105,27456,93,Thursday,9,39,2011
2011-09-30,44347.06,74,22553,60,Friday,9,39,2011
2011-10-01,0.0,0,0,0,Saturday,10,39,2011
2011-10-02,11531.56,35,8332,32,Sunday,10,39,2011
2011-10-03,66243.94,68,25942,48,Monday,10,40,2011
2011-10-04,48652.54,81,25284,65,Tuesday,10,40,2011
2011-10-05,75460.77,96,46222,82,Wednesday,10,40,2011
2011-10-06,62761.92,122,35367,98,Thursday,10,40,2011
2011-10-07,53692.5,88,30914,74,Friday,10,40,2011
2011-10-08,0.0,0,0,0,Saturday,10,40,2011
2011-10-09,12273.1,39,7285,35,Sunday,10,40,2011
2011-10-10,48121.66,100,26121,83,Monday,10,41,2011
2011-10-11,52537.31,82,28477,69,Tuesday,10,41,2011
2011-10-12,32083.11,88,17639,73,Wednesday,10,41,2011
2011-10-13,37232.47,77,18681,67,Thursday,10,41,2011
2011-10-14,36294.58,74,18134,61,Friday,10,41,2011
2011-10-15,0.0,0,0,0,Saturday,10,41,2011
2011-10-16,21767.94,35,8649,32,Sunday,10,41,2011
2011-10-17,51925.61,89,31319,76,Monday,10,42,2011
2011-10-18,45277.92,84,29285,73,Tuesday,10,42,2011
2011-10-19,42467.72,85,19178,71,Wednesday,10,42,2011
2011-10-20,60969.14,89,40855,76,Thursday,10,42,2011
2011-10-21,63173.39,64,24779,56,Friday,10,42,2011
2011-10-22,0.0,0,0,0,Saturday,10,42,2011
2011-10-23,12156.57,42,6953,39,Sunday,10,42,2011
2011-10-24,48335.52,78,25922,61,Monday,10,43,2011
2011-10-25,41192.55,77,26818,65,Tuesday,10,43,2011
2011-10-26,37729.47,95,20617,77,Wednesday,10,43,2011
2011-10-27,57201.78,106,32761,91,Thursday,10,43,2011
2011-10-28,40455.26,78,23998,60,Friday,10,43,2011
2011-10-29,0.0,0,0,0,Saturday,10,43,2011
2011-10-30,34397.95,96,19943,88,Sunday,10,43,2011
2011-10-31,57327.45,72,21554,61,Monday,10,44,2011
2011-11-01,29091.9,77,16546,74,Tuesday,11,44,2011
2011-11-02,45690.08,85,28488,79,Wednesday,11,44,2011
2011-11-03,63425.47,103,34314,86,Thursday,11,44,2011
2011-11-04,62594.590000000004,94,35144,73,Friday,11,44,2011
2011-11-05,0.0,0,0,0,Saturday,11,44,2011
2011-11-06,42513.590000000004,102,23089,88,Sunday,11,44,2011
2011-11-07,85705.3,93,31299,81,Monday,11,45,2011
2011-11-08,57557.03,108,26366,95,Tuesday,11,45,2011
2011-11-09,65879.97,119,38139,101,Wednesday,11,45,2011
2011-11-10,70868.0,129,38079,112,Thursday,11,45,2011
2011-11-11,55107.87,105,28967,87,Friday,11,45,2011
2011-11-12,0.0,0,0,0,Saturday,11,45,2011
2011-11-13,33878.15,87,20686,75,Sunday,11,45,2011
2011-11-14,114237.40000000001,107,47236,93,Monday,11,46,2011
2011-11-15,60613.8,108,30318,93,Tuesday,11,46,2011
2011-11-16,65672.53,130,32955,111,Wednesday,11,46,2011
2011-11-17,60901.32,137,31596,125,Thursday,11,46,2011
2011-11-18,51130.39,108,23921,98,Friday,11,46,2011
2011-11-19,0.0,0,0,0,Saturday,11,46,2011
2011-11-20,34509.21,100,19107,91,Sunday,11,46,2011
2011-11-21,49674.6,100,25705,85,Monday,11,47,2011
2011-11-22,63863.48,135,35367,120,Tuesday,11,47,2011
2011-11-23,79847.0,131,39295,107,Wednesday,11,47,2011
2011-11-24,50759.21,113,26396,98,Thursday,11,47,2011
2011-11-25,50690.4,83,18923,69,Friday,11,47,2011
2011-11-26,0.0,0,0,0,Saturday,11,47,2011
2011-11-27,20279.37,57,10942,51,Sunday,11,47,2011
2011-11-28,56965.73,115,29334,97,Monday,11,48,2011
2011-11-29,72384.82,135,30809,109,Tuesday,11,48,2011
2011-11-30,60025.57,108,28356,92,Wednesday,11,48,2011
2011-12-01,52068.63,121,27004,111,Thursday,12,48,2011
2011-12-02,57476.48,120,28690,95,Friday,12,48,2011
2011-12-03,0.0,0,0,0,Saturday,12,48,2011
2011-12-04,24477.47,66,12296,58,Sunday,12,48,2011
2011-12-05,88620.84,127,44497,105,Monday,12,49,2011
2011-12-06,56558.83,115,30377,103,Tuesday,12,49,2011
2011-12-07,75315.55,106,41789,94,Wednesday,12,49,2011
2011-12-08,82371.55,120,35010,105,Thursday,12,49,2011
2011-12-09,200900.97999999998,44,93949,35,Friday,12,49,2011
